District,Year,SO2,NO2,PM10,PM2.5,Diphtheria
Ahmednagar,2000,18.66,26.99,45.1,49.76,0
Ahmednagar,2001,23.76,13.59,53.87,28.12,0
Ahmednagar,2002,13.54,7.58,49.63,19.15,0
Ahmednagar,2003,18.87,13.29,43.11,25.71,1
Ahmednagar,2004,14.14,15.84,59.16,26.85,1
Ahmednagar,2005,16.37,22.56,65.62,29.0,0
Ahmednagar,2006,15.29,34.89,42.79,23.22,0
Ahmednagar,2007,16.11,23.52,43.01,41.67,1
Ahmednagar,2008,17.97,21.74,59.42,37.33,0
Ahmednagar,2009,19.37,30.15,60.51,39.55,1
Ahmednagar,2010,6.88,28.0,51.74,40.7,0
Ahmednagar,2011,16.12,33.3,65.95,36.9,1
Ahmednagar,2012,15.54,29.18,63.79,40.63,0
Ahmednagar,2013,28.6,32.1,83.84,38.83,0
Ahmednagar,2014,20.97,14.81,76.84,23.05,0
Ahmednagar,2015,24.55,30.37,72.31,33.83,0
Ahmednagar,2016,11.94,29.51,54.86,22.42,0
Ahmednagar,2017,20.11,30.23,71.75,58.8,1
Ahmednagar,2018,21.43,29.86,70.42,39.46,1
Ahmednagar,2019,20.03,31.68,74.05,58.04,0
Ahmednagar,2020,22.71,32.17,81.62,35.52,1
Ahmednagar,2021,36.12,43.73,71.02,56.66,1
Ahmednagar,2022,29.46,40.4,82.38,45.8,0
Ahmednagar,2023,25.53,36.26,69.94,66.63,0
Ahmednagar,2024,21.24,29.84,74.66,56.65,0
Ahmednagar,2025,18.33,35.39,91.36,46.24,0
Akola,2000,12.28,23.02,55.47,45.67,0
Akola,2001,12.59,21.07,43.07,30.86,1
Akola,2002,14.31,21.04,50.82,27.88,0
Akola,2003,17.38,22.04,46.93,23.33,1
Akola,2004,13.8,27.39,50.05,37.05,1
Akola,2005,16.9,30.28,62.12,31.36,0
Akola,2006,16.6,21.58,42.39,38.35,0
Akola,2007,10.95,25.3,65.94,48.96,0
Akola,2008,15.24,28.0,58.06,35.26,0
Akola,2009,22.4,21.34,44.36,37.35,0
Akola,2010,19.23,24.05,56.08,28.81,0
Akola,2011,18.32,33.59,62.73,39.09,0
Akola,2012,8.96,27.01,66.62,49.34,0
Akola,2013,17.93,31.5,49.88,32.16,1
Akola,2014,25.93,23.9,63.97,31.08,0
Akola,2015,24.68,21.81,68.58,34.86,1
Akola,2016,16.94,26.13,64.23,43.33,1
Akola,2017,21.31,28.33,72.84,50.45,0
Akola,2018,20.66,27.61,72.75,57.78,1
Akola,2019,24.34,29.36,81.97,37.08,0
Akola,2020,18.67,32.01,69.78,52.31,0
Akola,2021,18.27,32.29,49.75,47.17,0
Akola,2022,21.25,18.28,76.41,57.33,1
Akola,2023,17.64,31.67,73.02,37.91,1
Akola,2024,15.65,23.62,79.1,51.09,0
Akola,2025,21.12,40.79,81.48,42.85,0
Amravati,2000,10.56,19.7,46.13,35.95,0
Amravati,2001,21.5,24.15,34.75,31.12,0
Amravati,2002,15.3,16.73,65.68,39.17,0
Amravati,2003,11.13,31.14,58.94,27.93,0
Amravati,2004,16.04,33.86,62.54,39.52,0
Amravati,2005,16.52,19.87,41.11,52.7,0
Amravati,2006,14.64,18.86,48.49,33.2,0
Amravati,2007,19.38,18.51,59.32,37.06,1
Amravati,2008,7.74,28.31,69.16,34.78,0
Amravati,2009,20.35,25.9,67.15,45.63,0
Amravati,2010,19.34,23.74,58.11,41.2,1
Amravati,2011,16.4,26.58,72.34,39.56,0
Amravati,2012,17.96,26.54,73.84,40.93,0
Amravati,2013,10.88,15.83,71.2,56.04,0
Amravati,2014,13.77,37.96,85.92,25.72,0
Amravati,2015,21.48,28.57,67.55,35.17,1
Amravati,2016,20.51,38.34,56.2,45.41,1
Amravati,2017,17.76,20.52,71.13,50.52,1
Amravati,2018,18.56,16.82,70.58,35.48,1
Amravati,2019,18.98,22.39,57.34,43.71,0
Amravati,2020,29.05,31.98,90.77,55.13,0
Amravati,2021,31.16,25.21,57.25,59.42,0
Amravati,2022,18.26,27.82,94.15,39.74,0
Amravati,2023,17.57,27.35,84.79,40.17,0
Amravati,2024,18.85,18.87,60.11,58.07,0
Amravati,2025,20.43,44.14,87.32,52.92,1
Aurangabad,2000,12.02,25.48,58.5,16.92,0
Aurangabad,2001,20.39,19.47,59.83,33.61,1
Aurangabad,2002,8.36,14.73,51.61,38.77,0
Aurangabad,2003,10.14,15.88,60.14,41.2,0
Aurangabad,2004,14.44,18.87,45.18,36.57,0
Aurangabad,2005,16.26,28.31,49.81,33.73,1
Aurangabad,2006,14.72,18.37,60.53,39.56,1
Aurangabad,2007,24.52,18.82,53.49,30.35,0
Aurangabad,2008,20.5,19.91,66.29,45.61,0
Aurangabad,2009,23.2,27.73,55.1,51.32,0
Aurangabad,2010,15.32,27.81,62.68,20.84,0
Aurangabad,2011,16.62,20.31,57.98,45.62,0
Aurangabad,2012,12.86,31.44,64.97,39.24,0
Aurangabad,2013,22.58,22.67,75.03,49.4,0
Aurangabad,2014,21.22,27.79,78.4,42.75,0
Aurangabad,2015,15.77,23.72,76.88,36.4,0
Aurangabad,2016,19.59,33.9,76.76,56.16,0
Aurangabad,2017,19.27,20.11,62.23,42.45,1
Aurangabad,2018,21.11,25.25,88.02,39.32,1
Aurangabad,2019,29.8,16.85,68.36,47.64,0
Aurangabad,2020,20.79,27.63,81.87,44.02,0
Aurangabad,2021,25.53,23.4,83.88,37.85,1
Aurangabad,2022,25.49,23.57,92.73,54.79,0
Aurangabad,2023,31.03,43.41,56.7,34.31,0
Aurangabad,2024,25.34,35.4,81.89,60.45,0
Aurangabad,2025,28.89,21.95,96.6,50.78,0
Beed,2000,14.29,16.98,57.43,26.82,0
Beed,2001,11.01,23.38,50.58,24.41,0
Beed,2002,9.95,14.56,64.01,42.49,1
Beed,2003,4.5,14.92,46.68,27.93,0
Beed,2004,15.99,19.73,53.19,43.93,0
Beed,2005,12.82,15.86,46.7,38.93,0
Beed,2006,12.35,26.63,73.22,35.58,0
Beed,2007,23.75,25.44,64.73,32.96,1
Beed,2008,20.61,29.51,62.42,40.37,1
Beed,2009,12.06,37.83,50.6,40.52,1
Beed,2010,16.59,27.37,72.83,24.15,0
Beed,2011,22.96,22.83,67.07,41.39,0
Beed,2012,21.92,20.71,70.58,51.62,0
Beed,2013,15.51,22.81,82.67,35.17,1
Beed,2014,26.2,24.27,84.66,42.87,1
Beed,2015,24.61,31.05,72.59,28.6,1
Beed,2016,20.31,32.55,54.92,52.66,1
Beed,2017,20.05,26.61,68.26,57.99,0
Beed,2018,19.29,35.54,76.35,53.33,1
Beed,2019,13.13,27.31,82.82,43.31,1
Beed,2020,23.47,25.22,96.21,36.7,0
Beed,2021,25.48,24.95,65.93,40.57,0
Beed,2022,19.43,24.29,79.93,43.26,0
Beed,2023,17.71,28.7,72.76,49.26,0
Beed,2024,24.87,21.31,63.94,58.28,0
Beed,2025,25.63,45.83,72.43,56.04,1
Bhandara,2000,16.91,9.51,55.69,43.83,1
Bhandara,2001,17.37,13.67,43.73,7.85,0
Bhandara,2002,9.21,23.12,46.36,21.78,0
Bhandara,2003,11.13,24.28,69.47,38.28,0
Bhandara,2004,15.98,34.33,37.91,18.92,0
Bhandara,2005,16.3,27.61,55.32,30.04,0
Bhandara,2006,26.14,34.21,57.85,37.11,0
Bhandara,2007,7.5,28.11,57.14,52.43,1
Bhandara,2008,17.63,18.18,61.47,31.46,0
Bhandara,2009,17.33,21.5,59.15,43.71,0
Bhandara,2010,16.17,19.74,64.79,41.46,1
Bhandara,2011,23.69,20.4,59.98,32.05,1
Bhandara,2012,16.78,17.96,50.7,40.78,1
Bhandara,2013,29.76,26.33,72.3,40.81,0
Bhandara,2014,19.31,27.4,63.31,48.24,0
Bhandara,2015,22.01,34.31,67.22,55.06,1
